RE,chp,state,city,fuel,technology,id,capacity_n,capacity_g,chp_capaci,efficiency,Efficien_2
DE14,no,Schleswig-Holstein,Geesthacht,Hydro,Pumped storage,BNA0327,119.1,120.0,0.0,0.0,0.75
DE14,no,Schleswig-Holstein,Geesthacht,Hydro,Pumped storage,BNA0328,0.0,0.0,0.0,0.0,0.75
DE14,no,Schleswig-Holstein,Geesthacht,Hydro,Pumped storage,BNA0329,0.0,0.0,0.0,0.0,0.75
DE14,no,Schleswig-Holstein,Wedel,Oil,Gas turbine,BNA1015,50.5,51.0,0.0,0.55,0.31
DE14,no,Schleswig-Holstein,Wedel,Oil,Gas turbine,BNA1016,50.5,51.0,0.0,0.55,0.31
DE14,yes,Bremen,Bremen,Hard coal,Steam turbine,BNA0144,119.0,130.0,155.0,0.0,0.4
DE14,yes,Bremen,Bremen,Hard coal,Steam turbine,BNA0145,127.0,0.0,0.0,0.0,0.35
DE14,yes,Bremen,Bremen,Hard coal,Steam turbine,BNA0146,300.0,315.0,39.0,0.0,0.37
DE14,yes,Bremen,Bremen,Natural gas,Combined cycle,BNA1334,14.8,0.0,0.0,0.0,0.55
DE14,yes,Bremen,Bremen,Natural gas,Steam turbine,BNA0140,155.0,0.0,0.0,0.0,0.35
DE14,yes,Bremen,Bremen,Waste,Steam turbine,BNA1114,44.0,0.0,0.0,0.0,0.33
DE14,yes,Bremen,Bremerhaven,Waste,Steam turbine,BNA1116,14.0,0.0,0.0,0.0,0.33
DE14,yes,Niedersachsen,Emden,Biomass and biogas,Steam turbine,BNA0244,20.0,0.0,0.0,0.0,0.38
DE14,yes,Niedersachsen,Stade,Natural gas,Combined cycle,BNA0918b,173.0,173.0,0.0,0.0,0.6
DE14,yes,Niedersachsen,Stade,Natural gas,Steam turbine,BNA0918a,190.0,0.0,0.0,0.0,0.35
DE14,yes,Niedersachsen,Varel,Biomass and biogas,Combustion Engine,BNA1335c,1.9,0.0,0.0,0.0,0.45
DE14,yes,Niedersachsen,Varel,Natural gas,Steam turbine,BNA1335a,58.1,0.0,0.0,0.0,0.37
DE14,yes,Niedersachsen,Varel,Natural gas,Steam turbine,BNA1335b,0.5,0.0,0.0,0.0,0.35
DE14,yes,Schleswig-Holstein,Wedel,Hard coal,Steam turbine,BNA0403,123.0,138.7,0.0,0.36,0.41
DE14,yes,Schleswig-Holstein,Wedel,Hard coal,Steam turbine,BNA0404,137.0,151.0,423.0,0.36,0.41
DE15,no,Niedersachsen,Alfeld,Hydro,Run-of-river,BNA0012c,0.1,0.0,0.0,0.0,0.8
DE15,no,Niedersachsen,Alfeld,Oil,Steam turbine,BNA0012d,2.8,0.0,0.0,0.0,0.38
DE15,no,Niedersachsen,Emmerthal,Nuclear,Steam turbine,BNA0251,1360.0,1430.0,0.0,0.35,0.33
DE15,no,Niedersachsen,Hameln,Biomass and biogas,Steam turbine,BNA0408,16.8,0.0,0.0,0.0,0.38
DE15,no,Niedersachsen,Hannover,Waste,Steam turbine,BNA0417,22.5,0.0,0.0,0.0,0.33
DE15,no,Niedersachsen,Helmstedt,Lignite,Steam turbine,BNA0439,352.0,405.0,0.0,0.36,0.36
DE15,no,Niedersachsen,Helmstedt,Waste,Steam turbine,BNA0438,37.5,0.0,0.0,0.0,0.33
DE15,no,Niedersachsen,Hohenhameln OT Mehrum,Hard coal,Steam turbine,BNA0464,690.0,750.0,0.0,0.0,0.43
DE15,no,Niedersachsen,Kreiensen,Hydro,Pumped storage,BNA0558,220.0,222.86,0.0,0.75,0.75
DE15,no,Niedersachsen,Landesbergen,Biomass and biogas,Steam turbine,BNA0573,20.0,0.0,0.0,0.0,0.38
DE15,no,Niedersachsen,Landesbergen,Natural gas,Steam turbine,BNA0574,500.0,0.0,0.0,0.35,0.36
