RE,chp,state,city,fuel,technology,capacity_n,capacity_g,chp_capaci
DE08,yes,Nordrhein-Westfalen,Wesseling,Natural gas,Combined cycle,51.9,73.77,0.0
DE08,yes,Nordrhein-Westfalen,Wesseling,Oil,Combined cycle,66.3,94.23,0.0
DE08,yes,Nordrhein-Westfalen,Z?lpich,Lignite,Steam turbine,14.4,0.0,0.0
DE08,yes,Nordrhein-Westfalen,Z?lpich,Natural gas,Steam turbine,15.1,0.0,0.0
DE08,yes,Rheinland-Pfalz,Andernach,Waste,Steam turbine,12.5,0.0,0.0
DE08,yes,Rheinland-Pfalz,Mayen,Natural gas,Combined cycle,42.0,0.0,0.0
DE08,yes,Rheinland-Pfalz,Mayen,Natural gas,Steam turbine,0.0,0.0,0.0
DE08,yes,Rheinland-Pfalz,Mayen,Other fossil fuels,Steam turbine,0.0,0.0,0.0
DE09,no,Hessen,Darmstadt,Natural gas,Combined cycle,94.6,100.0,0.0
DE09,no,Hessen,Fl?rsheim Wicker,Biomass and biogas,Steam turbine,12.6,0.0,0.0
DE09,no,Luxemburg,Vianden,Hydro,Run-of-river,195.0,0.0,0.0
DE09,no,Rheinland-Pfalz,Ellenz-Poltersdorf,Hydro,Run-of-river,16.4,0.0,0.0
DE09,no,Rheinland-Pfalz,Enkirch,Hydro,Run-of-river,18.4,0.0,0.0
DE09,no,Rheinland-Pfalz,Freudenburg,Hydro,Run-of-river,12.1,0.0,0.0
DE09,no,Rheinland-Pfalz,Neef,Hydro,Run-of-river,16.4,0.0,0.0
DE09,no,Rheinland-Pfalz,Schleich,Hydro,Run-of-river,24.0,0.0,0.0
DE09,no,Rheinland-Pfalz,Trier,Hydro,Run-of-river,18.8,0.0,0.0
DE09,no,Rheinland-Pfalz,Wintrich,Hydro,Run-of-river,20.0,0.0,0.0
DE09,no,Rheinland-Pfalz,Worms,Waste,Steam turbine,6.9,0.0,0.0
DE09,no,Rheinland-Pfalz,Zeltingen,Hydro,Run-of-river,13.6,0.0,0.0
