class,Sink,Sink,Sink,LinearTransformer,LinearTransformer,LinearTransformer,LinearTransformer,LinearTransformer,LinearTransformer
label,LD_DE153_dhg_hhg,LD_DE153_dhg_ind,LD_DE15_dhg_el,HPPek_1_DE152_dhg_gas,HPPek_1_DE152_dhg_gas,HPPek_2_DE152_dhg_hc,HPPek_2_DE152_dhg_hc,HPPek_3_DE152_dhg_gas,HPPek_3_DE152_dhg_gas
source,B_DE153_dhg_hhg,B_DE153_dhg_ind,B_DE15_dhg_el,HPPek_1_DE152_dhg_gas,HPPek_1_DE152_dhg_gas,HPPek_2_DE152_dhg_hc,HPPek_2_DE152_dhg_hc,HPPek_3_DE152_dhg_gas,HPPek_3_DE152_dhg_gas
target,LD_DE153_dhg_hhg,LD_DE153_dhg_ind,LD_DE15_dhg_el,B_DE152_dhg_el,B_DE152_dhg_gas_th,B_DE152_dhg_el,B_DE152_dhg_hc_th,B_DE152_dhg_el,B_DE152_dhg_gas_th
attribute,actual_value,actual_value,actual_value,conversion_factors,conversion_factors,conversion_factors,conversion_factors,conversion_factors,conversion_factors
2050-01-05 09:00:00+00:00,1,0.8731012286,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-05 10:00:00+00:00,1,0.8841046172,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-05 11:00:00+00:00,1,0.8939566406,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-05 12:00:00+00:00,1,0.890751135,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-05 13:00:00+00:00,1,0.8815794638,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-05 14:00:00+00:00,1,0.8638772226,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-05 15:00:00+00:00,1,0.8549672253,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-05 16:00:00+00:00,1,0.8693723751,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-05 17:00:00+00:00,1,0.9250435033,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-05 18:00:00+00:00,1,0.9238528869,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-05 19:00:00+00:00,1,0.9049861967,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-05 20:00:00+00:00,1,0.8487001348,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-05 21:00:00+00:00,1,0.8019128364,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-05 22:00:00+00:00,1,0.7920084782,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-05 23:00:00+00:00,1,0.7461762897,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-06 00:00:00+00:00,1,0.707160707,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-06 01:00:00+00:00,1,0.6780102315,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-06 02:00:00+00:00,1,0.6551137627,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-06 03:00:00+00:00,1,0.6421478196,1,0.55,0.26,0.4,0.48,0.38,0.42
